Distance,Speed,Lateral G,Longitudinal G
602,139.399999,-1.55934630,-0.248120300
606,137.199999,-1.56497482,-0.218045112
609,135.699999,-1.61563148,-0.228070175
613,133.849999,-1.64252328,-0.214285714
617,133.099999,-1.64064711,-0.174185463
621,131.099999,-1.61688226,-0.093984962
624,130.699999,-1.59686975,-0.082706767
628,128.899999,-1.60499983,-0.098997493
631,127.799999,-1.56497482,-0.093984962
635,126.399999,-1.61375530,-0.092731829
638,125.399999,-1.56560021,-0.058897243
642,125.399999,-1.57935880,-0.085213032
645,122.999999,-1.59749514,-0.097744360
649,122.549999,-1.59499358,-0.030075187
652,121.999999,-1.55747012,0.047297731
656,121.499999,-1.54120996,0.135531135
659,120.549999,-1.56935255,0.279866332
662,121.499999,-1.51056581,0.361673414
666,121.999999,-1.59499358,0.347021399
669,121.899999,-1.61563147,0.414176466
672,123.799999,-1.54746387,0.431270483
676,124.099999,-1.53870840,0.405629458
679,124.099999,-1.45990915,0.458132510
683,126.099999,-1.44364899,0.491099543
686,126.899999,-1.44302360,0.475226527
690,127.799999,-1.39799545,0.486215538
693,128.499999,-1.38611303,0.471563523
697,129.199999,-1.33420558,0.494762547
701,130.049999,-1.30293604,0.544823597
704,131.599999,-1.25915868,0.580232633
708,133.299999,-1.20787663,0.557033609
712,134.699999,-1.11907112,0.533834586
715,136.399999,-0.97022810,0.508193560
719,137.399999,-0.77948388,0.454469507
723,138.699999,-0.51612850,0.431270483
727,140.449999,-0.17183437,0.400745453
731,141.699999,0.18157730,0.333590386
735,143.549999,0.50139890,0.281087333
739,144.699999,0.76508344,0.243236295
743,145.799999,0.92105263,0.245678298
747,147.399999,0.98973042,0.254225306
751,148.399999,1.03851090,0.234689287
755,149.599999,1.06803594,0.211490264
759,150.999999,1.15596918,0.173253647
764,151.899999,1.27021822,0.055491292
768,152.999999,1.37227214,0.008771930
772,153.799999,1.48459563,0.086337638
776,154.049999,1.48395378,0.117441038
781,154.999999,1.43453145,0.147998200
785,155.149999,1.43132220,0.171197223
789,156.149999,1.39024390,0.145524066
794,157.699999,1.37869062,0.106259237
798,158.099999,1.46726572,0.088843904
802,158.999999,1.40500641,0.065034380
807,161.099999,1.33311938,0.087173060
811,159.749999,1.40179717,0.128365786
816,160.399999,1.37419768,0.112492770
820,163.199999,1.48267008,0.119850909
825,162.699999,1.48973042,0.103592314
829,163.799999,1.38446726,0.094948910
834,163.499999,1.41784338,0.085020242
839,164.999999,1.40500641,0.046365914
843,167.299999,1.40629011,0.047619047
848,166.299999,1.53786906,0.099865047
852,165.699999,1.54492939,0.098611914
857,168.999999,1.56611039,0.082578240
862,168.749999,1.73684210,0.088747509
866,169.299999,1.75288831,0.048711522
871,170.699999,1.77599486,0.032581453
876,170.899999,1.76700898,0.040100250
881,172.099999,1.72400513,0.031328320
885,172.999999,1.66046213,0.071364308
890,173.399999,1.43068035,0.128333654
895,173.199999,1.03673348,0.187070239
900,174.299999,0.43579869,0.267656320
905,175.699999,-0.28766334,0.343358396
910,177.299999,-0.96876337,0.395861448
915,177.899999,-1.50368651,0.420281472
920,178.299999,-1.85953391,0.405629458
925,178.099999,-1.94583785,0.422723475
929,178.099999,-2.06716368,0.417839470
934,177.899999,-2.11094104,0.486215538
939,178.999999,-2.09843323,0.455690508
944,177.549999,-2.04590039,0.412955465
949,177.899999,-1.76697606,0.416618469
954,176.699999,-1.50368651,0.349463402
959,176.649999,-1.18035943,0.376325428
964,177.399999,-0.86766400,0.338474391
969,177.099999,-0.67754517,0.238352291
974,176.149999,-0.55059082,0.243236295
979,178.249999,-0.48492478,0.314054366
984,179.049999,-0.57935880,0.318938371
989,179.499999,-0.61000296,0.333590386
994,180.899999,-0.61875843,0.318938371
999,180.549999,-0.74446199,0.292076344
1004,181.799999,-0.80449952,0.379988432
1009,182.899999,-0.87579408,0.382430435
1014,182.599999,-0.86828939,0.321380374
1019,183.499999,-0.71319245,0.334811387
1024,184.399999,-0.49088245,0.298181350
1029,184.599999,-0.24475824,0.263993316
1034,185.449999,-0.04379382,0.262772315
